year,NAV,div_payout_ratio,debt_ratio
2013,,0.962,0.166
2014,,0.708,0.16
2015,,0.76,0.192
2016,,0.328,0.178
2017,,0.267,0.153
2018,,0.397,0.157
2019,,0.666,0.209
2020,,0.296,0.169
2021,,0.497,0.16
2022,,0.889,0.229
