year,NAV,div_payout_ratio,debt_ratio
2013,11.41,0.466,0.07
2014,11.71,0.639,0.099
2015,12.19,0.499,0.082
2016,13.3,0.527,0.068
2017,15.63,0.485,0.098
2018,16.43,0.497,0.189
2019,16.39,0.477,0
2020,15.3,0.581,0.118
2021,15.05,0.57,0.294
2022,14.95,0.699,0.196
