year,NAV,div_payout_ratio,debt_ratio
2018,0.815,,0.074
2019,0.777,1.205,0.075
2020,0.746,1.063,0.071
2021,0.719,0.974,0.041
2022,0.697,1.081,0.033
2023,0.675,1.081,0.05
