year,NAV,div_payout_ratio,debt_ratio
2013,,0.34,0
2014,,0.338,0
2015,,0.323,0
2016,,0.338,0
2017,,0.329,0
2018,,0.348,0
2019,,0.329,0
2020,,0.063,0
2021,,1.33,0
2022,,0.308,0
