year,NAV,div_payout_ratio,debt_ratio
2013,,0.334,0
2014,,0.77,0
2015,,0.727,0
2016,,0.797,0
2017,,0.848,0
2018,,0.882,0
2019,,1.036,0
2020,,0.945,0.01
2021,,0.476,0.019
2022,,0,0
