year,NAV,div_payout_ratio,debt_ratio
2013,28.77,0.39,0.251
2014,38.42,0.38,0.287
2015,40.71,0.48,0.156
2016,38.34,0.59,0.177
2017,41.07,0.58,0.186
2018,42.54,0.586,0.094
2019,44.29,0.59,0.042
2020,44.23,0.637,0.048
2021,45.97,0.706,0.111
2022,47.39,0.835,0.184
