year,NAV,div_payout_ratio,debt_ratio
2013,1.12,0.497,0.068
2014,1,0.497,0.135
2015,1.1,0.499,0.381
2016,1.35,0.504,0.078
2017,1.44,0.501,0.046
2018,1.6,0.502,0.02
2019,1.69,0.5,0.049
2020,1.88,0.25,0.02
2021,1.93,0.495,0.005
2022,2.07,0.5,0
