year,NAV,div_payout_ratio,debt_ratio
2015,,0.511,0.391
2016,,0.988,0.152
2017,,0.996,0.234
2018,,0.972,0.107
2019,,1.085,0.189
2020,,0.995,0.24
2021,,0.999,0.203
2022,,0.783,0.127
