year,NAV,div_payout_ratio,debt_ratio
2013,,0.621,0.048
2014,,0.527,0.036
2015,,0.57,0.038
2016,,0.666,0.028
2017,,0.749,0.029
2018,,0.654,0.077
2019,,0.716,0.04
2020,,1.73,0.582
2021,,0.615,0.106
2022,,0.7,0.139
