year,NAV,div_payout_ratio,debt_ratio
2013,27.8,0.352,0.083
2014,29.5,0.191,0.017
2015,28.7,0.401,0
2016,28.1,0.171,0
2017,30.3,0.197,0
2018,30.6,0.414,0
2019,30.8,0.294,0.003
2020,30.7,0.412,0.04
2021,31.5,0.49,0.14
2022,29.6,0.39,0.104
