year,NAV,div_payout_ratio,debt_ratio
2011,24.9,,
2012,26.3,,
2013,27.8,0.629,0
2014,29.5,0.327,0
2015,28.7,0.686,0
2016,28.1,0.532,0.047
2017,30.3,0.61,0.076
2018,30.6,0.753,0.109
2019,30.8,0.717,0.231
2020,30.7,0.836,0.003
2021,31.5,1.07,0
2022,29.6,0.843,0.108
