year,NAV,div_payout_ratio,debt_ratio
2013,,0.418,0.094
2014,,0.422,0.084
2015,,0.467,0.083
2016,,0.465,0.068
2017,,0.424,0.055
2018,,0.479,0.044
2019,,0.476,0.05
2020,,0.476,0.05
2021,,0.538,0.048
2022,,0.583,0.045
