year,NAV,div_payout_ratio,debt_ratio
2017,68.29,0.625,0.102
2018,72.06,0.64,0.083
2019,71.2,0.634,0.08
2020,67.38,0.73,0.286
2021,67.89,0.919,0.093
2022,62.7,0.706,0.276
