year,NAV,div_payout_ratio,debt_ratio
2012,10.34,,
2013,11.18,0.456,0
2014,12.82,0.391,0
2015,11.57,0.315,0
2016,11.29,0.32,0
2017,14.68,0.317,0
2018,16.43,0.37,0
2019,16.39,0.364,0
2020,15.3,0.554,0
2021,15.05,0.622,0
2022,14.95,0.448,0
